學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,學期間退學人數-總計,學期間退學人數-學生自請退學-小計,學期間退學人數-學生自請退學-就讀學校、科系不符期待,學期間退學人數-學生自請退學-懷孕,學期間退學人數-學生自請退學-育嬰,學期間退學人數-學生自請退學-傷病,學期間退學人數-學生自請退學-經濟困難,學期間退學人數-學生自請退學-工作,學期間退學人數-學生自請退學-其他(不含死亡),學期間退學人數-學校勒令退學-小計,學期間退學人數-學校勒令退學-成績不佳或曠課時數過多,學期間退學人數-學校勒令退學-操行成績,學期間退學人數-學校勒令退學-因逾期未註冊,學期間退學人數-學校勒令退學-因休學逾期未復學,學期間退學人數-學校勒令退學-其他(不含死亡)
112,1,公立,一般大學,0015,國立彰化師範大學,學士班(日間),男,2698,81,39,36,0,0,0,0,3,0,42,5,0,37,0,0
112,1,公立,一般大學,0015,國立彰化師範大學,碩士班(日間),男,882,68,13,8,0,0,0,0,5,0,55,11,0,44,0,0
112,1,公立,一般大學,0015,國立彰化師範大學,碩士在職專班,男,540,44,9,1,0,0,0,0,7,1,35,10,0,25,0,0
112,1,公立,一般大學,0015,國立彰化師範大學,博士班,男,273,13,1,1,0,0,0,0,0,0,12,4,0,8,0,0
112,1,公立,一般大學,0015,國立彰化師範大學,學士班(日間),女,2346,50,22,21,0,0,0,1,0,0,28,0,0,28,0,0
112,1,公立,一般大學,0015,國立彰化師範大學,碩士班(日間),女,839,65,14,6,0,1,1,0,6,0,51,7,0,44,0,0
112,1,公立,一般大學,0015,國立彰化師範大學,碩士在職專班,女,831,36,17,2,0,0,0,2,7,6,19,6,0,13,0,0
112,1,公立,一般大學,0015,國立彰化師範大學,博士班,女,202,6,3,0,0,0,0,0,3,0,3,2,0,1,0,0
112,1,公立,一般大學,0017,國立臺北大學,學士班(日間),男,2732,73,24,5,0,0,0,0,0,19,49,21,0,3,25,0
112,1,公立,一般大學,0017,國立臺北大學,學士班(進修),男,811,64,32,13,0,0,2,1,7,9,32,14,0,8,10,0
112,1,公立,一般大學,0017,國立臺北大學,碩士班(日間),男,753,36,9,1,0,0,0,0,1,7,27,8,0,5,14,0
112,1,公立,一般大學,0017,國立臺北大學,碩士在職專班,男,283,9,7,1,0,0,0,0,3,3,2,1,0,0,1,0
112,1,公立,一般大學,0017,國立臺北大學,博士班,男,135,4,2,0,0,0,0,1,1,0,2,1,0,0,1,0
112,1,公立,一般大學,0017,國立臺北大學,學士班(日間),女,3268,36,16,5,0,0,0,0,0,11,20,1,0,2,17,0
112,1,公立,一般大學,0017,國立臺北大學,學士班(進修),女,1063,62,34,12,0,0,2,0,8,12,28,11,0,7,10,0
112,1,公立,一般大學,0017,國立臺北大學,碩士班(日間),女,752,25,4,1,0,0,0,0,0,3,21,7,0,3,11,0
112,1,公立,一般大學,0017,國立臺北大學,碩士在職專班,女,348,8,7,0,0,0,0,0,4,3,1,1,0,0,0,0
112,1,公立,一般大學,0017,國立臺北大學,博士班,女,60,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
112,1,公立,一般大學,0018,國立嘉義大學,學士班(日間),男,3869,138,81,75,0,0,2,1,3,0,57,24,0,4,29,0
112,1,公立,一般大學,0018,國立嘉義大學,學士班(進修),男,1056,87,31,22,0,0,1,0,8,0,56,19,0,18,19,0
112,1,公立,一般大學,0018,國立嘉義大學,碩士班(日間),男,576,37,13,5,0,0,2,0,6,0,24,5,0,4,15,0
112,1,公立,一般大學,0018,國立嘉義大學,碩士在職專班,男,367,32,6,0,0,0,1,0,5,0,26,5,0,7,14,0
