學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生小計,外國學生數男,外國學生女,外國學生數之在學比率(%)
106,公立,一般大學,0003,國立臺灣大學,05332058,天文物理研究所,碩士班(日間),1,1,0,7.14
106,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,碩士班(日間),6,4,2,2.96
106,公立,一般大學,0003,國立臺灣大學,07121080,環境工程學研究所,碩士班(日間),1,0,1,1.00
106,公立,一般大學,0003,國立臺灣大學,07141066,光電工程學研究所,碩士班(日間),2,2,0,0.87
106,公立,一般大學,0003,國立臺灣大學,07141068,電信工程學研究所,碩士班(日間),3,3,0,1.09
106,公立,一般大學,0003,國立臺灣大學,07191079,工業工程學研究所,碩士班(日間),3,3,0,4.17
106,公立,一般大學,0003,國立臺灣大學,07193081,生醫電子與資訊學研究所,碩士班(日間),1,1,0,0.95
106,公立,一般大學,0003,國立臺灣大學,07194071,應用力學研究所,碩士班(日間),2,1,1,1.13
106,公立,一般大學,0003,國立臺灣大學,07194083,醫學工程學研究所,碩士班(日間),3,1,2,2.42
106,公立,一般大學,0003,國立臺灣大學,08191100,農業化學系,碩士班(日間),1,1,0,1.69
106,公立,一般大學,0003,國立臺灣大學,09191123,職業醫學與工業衛生研究所,博士班,5,4,1,23.81
