學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),境外學位生數小計,境外學位生數男,境外學位生數女,境外學位生數之在學比率(%)
106,公立,一般大學,0002,國立清華大學,07141052,光電工程研究所,碩士班(日間),4,2,2,3.39
106,公立,一般大學,0002,國立清華大學,07194059,奈米工程與微系統研究所,碩士班(日間),7,4,3,12.28
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,學士班(日間),23,10,13,8.71
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,學士班(日間),93,33,60,27.68
106,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,學士班(日間),23,8,15,3.90
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,學士班(日間),58,30,28,7.71
106,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,學士班(日間),16,11,5,7.84
106,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,學士班(日間),15,9,6,9.15
106,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,學士班(日間),16,6,10,7.62
106,公立,一般大學,0003,國立臺灣大學,04121032,財務金融學系,學士班(日間),36,16,20,6.64
106,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,學士班(日間),6,0,6,1.57
106,公立,一般大學,0003,國立臺灣大學,05111038,生命科學系,學士班(日間),24,13,11,12.90
106,公立,一般大學,0003,國立臺灣大學,05111041,昆蟲學系,學士班(日間),6,2,4,6.38
106,公立,一般大學,0003,國立臺灣大學,05121151,生化科技學系,學士班(日間),16,10,6,8.99
106,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,學士班(日間),8,7,1,2.88
106,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,學士班(日間),19,17,2,9.05
106,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,學士班(日間),50,43,7,6.21
106,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,學士班(日間),70,64,6,10.77
106,公立,一般大學,0003,國立臺灣大學,07151072,生物產業機電工程學系,學士班(日間),17,11,6,9.39
106,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,學士班(日間),52,40,12,10.92
106,公立,一般大學,0003,國立臺灣大學,07321075,生物環境系統工程學系,學士班(日間),13,7,6,6.47
106,公立,一般大學,0003,國立臺灣大學,08193098,生物產業傳播暨發展學系,學士班(日間),15,5,10,5.91
106,公立,一般大學,0003,國立臺灣大學,08411104,獸醫學系,學士班(日間),53,17,36,15.82
106,公立,一般大學,0003,國立臺灣大學,09121107,醫學系,學士班(日間),70,38,32,6.99
106,公立,一般大學,0003,國立臺灣大學,09141136,醫學檢驗暨生物技術學系,學士班(日間),14,5,9,11.20
106,公立,一般大學,0003,國立臺灣大學,09152133,職能治療學系,學士班(日間),22,2,20,14.10
106,公立,一般大學,0003,國立臺灣大學,09161129,藥學系,學士班(日間),17,6,11,7.14
106,公立,一般大學,0003,國立臺灣大學,09231144,社會工作學系,學士班(日間),13,4,9,6.16
106,公立,一般大學,0003,國立臺灣大學,02151002,音樂學研究所,博士班,2,1,1,28.57
106,公立,一般大學,0003,國立臺灣大學,02191004,藝術史研究所,博士班,1,0,1,14.29
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,博士班,7,5,2,14.29
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,博士班,7,6,1,50.00
106,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,學士班(日間),9,2,7,4.76
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,學士班(日間),22,9,13,13.92
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,學士班(日間),20,11,9,10.75
