學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-學生自請休學原因-小計,於學年底處於休學狀態之人數-學生自請休學原因-傷病,於學年底處於休學狀態之人數-學生自請休學原因-經濟困難,於學年底處於休學狀態之人數-學生自請休學原因-就讀學校、科系不符期待,於學年底處於休學狀態之人數-學生自請休學原因-學業成績不佳,於學年底處於休學狀態之人數-學生自請休學原因-工作,於學年底處於休學狀態之人數-學生自請休學原因-懷孕,於學年底處於休學狀態之人數-學生自請休學原因-育嬰,於學年底處於休學狀態之人數-學生自請休學原因-兵役,於學年底處於休學狀態之人數-學生自請休學原因-出國,於學年底處於休學狀態之人數-學生自請休學原因-論文撰寫,於學年底處於休學狀態之人數-學生自請休學原因-就學環境,於學年底處於休學狀態之人數-學生自請休學原因-家務或家人照顧,於學年底處於休學狀態之人數-學生自請休學原因-考試訓練,於學年底處於休學狀態之人數-學生自請休學原因-其他,於學年底處於休學狀態之人數-學校勒令休學原因-小計,於學年底處於休學狀態之人數-學校勒令休學原因-違反校規,於學年底處於休學狀態之人數-學校勒令休學原因-其他
112,公立,一般大學,0017,國立臺北大學,學士班(進修),男,811,159,159,8,3,6,5,62,0,4,1,4,1,1,6,7,51,0,0,0
112,公立,一般大學,0017,國立臺北大學,碩士班(日間),男,753,105,105,2,3,8,0,29,0,2,3,3,36,4,2,12,1,0,0,0
112,公立,一般大學,0017,國立臺北大學,碩士在職專班,男,283,52,52,1,0,0,0,28,0,7,0,1,10,0,3,1,1,0,0,0
112,公立,一般大學,0017,國立臺北大學,博士班,男,135,35,35,1,1,0,0,12,0,5,0,0,14,0,1,1,0,0,0,0
112,公立,一般大學,0017,國立臺北大學,學士班(日間),女,3268,91,90,2,4,24,4,3,1,1,0,26,0,10,4,11,0,1,0,1
112,公立,一般大學,0017,國立臺北大學,學士班(進修),女,1063,156,155,7,2,8,6,76,5,3,0,7,0,0,5,1,35,1,0,1
112,公立,一般大學,0017,國立臺北大學,碩士班(日間),女,752,127,127,2,2,9,0,33,3,4,0,6,47,4,3,14,0,0,0,0
112,公立,一般大學,0017,國立臺北大學,碩士在職專班,女,348,68,68,3,1,1,0,28,2,11,0,1,19,0,1,0,1,0,0,0
112,公立,一般大學,0017,國立臺北大學,博士班,女,60,20,20,0,0,0,1,7,1,5,0,1,4,0,1,0,0,0,0,0
112,公立,一般大學,0018,國立嘉義大學,學士班(日間),男,3869,209,209,18,11,101,23,14,0,0,9,10,0,9,5,8,1,0,0,0
