學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別,國家(地區)區域別,境外學位生總人數(A)(A=B+C+D+E)小計,境外學位生總人數(A)(A=B+C+D+E)男,境外學位生總人數(A)(A=B+C+D+E)女,外國學生(B)小計,外國學生(B)男,外國學生(B)女,僑生(C)小計,僑生(C)男,僑生(C)女,港澳生(D)小計,港澳生(D)男,港澳生(D)女,大陸地區來臺學位生(E)小計,大陸地區來臺學位生(E)男,大陸地區來臺學位生(E)女
111,私立,一般大學,1006,中國文化大學,學士班(日間),越南社會主義共和國,東協,43,16,27,40,14,26,3,2,1,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),德意志聯邦共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),黎巴嫩共和國,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),澳門,港澳,26,12,14,0,0,0,0,0,0,26,12,14,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),大陸地區,大陸地區,57,24,33,0,0,0,0,0,0,0,0,0,57,24,33
111,私立,一般大學,1006,中國文化大學,學士班(日間),大韓民國(南韓),其他亞洲地區,24,8,16,22,8,14,2,0,2,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),日本,其他亞洲地區,90,32,58,88,30,58,2,2,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),印度,南亞,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),吉爾吉斯,其他亞洲地區,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),奈及利亞聯邦共和國,非洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),南非共和國,非洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),查德共和國,非洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),香港,港澳,254,127,127,0,0,0,0,0,0,254,127,127,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),剛果共和國,非洲,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
