學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),僑生小計,僑生男,僑生女,港澳生小計,港澳生男,港澳生女,僑生及港澳生數之在學比率(%)
111,私立,一般大學,1014,義守大學,06131027,資訊工程學系,學士班(日間),0,0,0,11,11,0,2.33
111,私立,一般大學,1014,義守大學,07112034,材料科學與工程學系,學士班(日間),0,0,0,1,1,0,0.36
111,私立,一般大學,1014,義守大學,07141025,電機工程學系,學士班(日間),0,0,0,1,1,0,0.18
111,私立,一般大學,1014,義守大學,07141069,智慧網路科技學系,學士班(日間),0,0,0,1,0,1,0.78
111,私立,一般大學,1014,義守大學,07151030,機械與自動化工程學系,學士班(日間),1,1,0,1,1,0,0.77
111,私立,一般大學,1014,義守大學,07193037,生物醫學工程學系,學士班(日間),0,0,0,2,2,0,0.60
111,私立,一般大學,1014,義守大學,07321031,土木工程學系,學士班(日間),0,0,0,4,4,0,1.69
111,私立,一般大學,1014,義守大學,09131046,護理學系,學士班(日間),3,0,3,23,11,12,5.64
111,私立,一般大學,1014,義守大學,09141050,醫學影像暨放射科學系,學士班(日間),0,0,0,7,2,5,2.13
111,私立,一般大學,1014,義守大學,09141061,醫學檢驗技術學系,學士班(日間),0,0,0,2,0,2,0.68
111,私立,一般大學,1014,義守大學,09151042,物理治療學系,學士班(日間),4,3,1,40,25,15,12.61
111,私立,一般大學,1014,義守大學,09152043,職能治療學系,學士班(日間),1,1,0,45,22,23,15.49
111,私立,一般大學,1014,義守大學,09191041,健康管理學系,學士班(日間),0,0,0,1,1,0,0.61
111,私立,一般大學,1014,義守大學,10131051,餐旅管理學系,學士班(日間),13,5,8,25,14,11,15.45
111,私立,一般大學,1014,義守大學,10131052,廚藝學系,學士班(日間),25,13,12,78,46,32,31.99
111,私立,一般大學,1014,義守大學,10151053,觀光學系,學士班(日間),0,0,0,11,5,6,5.34
111,私立,一般大學,1014,義守大學,10151055,國際觀光餐旅學系,學士班(日間),3,0,3,5,4,1,5.41
111,私立,一般大學,1014,義守大學,10151057,休閒事業管理學系,學士班(日間),0,0,0,11,2,9,6.40
111,私立,一般大學,1016,銘傳大學,02112012,數位媒體設計學系,學士班(日間),22,7,15,39,8,31,10.17
111,私立,一般大學,1016,銘傳大學,02112072,商業設計學系,學士班(日間),4,2,2,23,6,17,5.78
111,私立,一般大學,1016,銘傳大學,02121090,動漫文創設計學士學位學程,學士班(日間),0,0,0,1,0,1,0.57
111,私立,一般大學,1016,銘傳大學,02123073,商品設計學系,學士班(日間),9,4,5,20,9,11,6.09
111,私立,一般大學,1016,銘傳大學,02125095,時尚與創新管理學士學位學程,學士班(日間),8,1,7,3,0,3,9.82
111,私立,一般大學,1016,銘傳大學,02311010,應用日語學系,學士班(日間),4,0,4,21,12,9,5.18
111,私立,一般大學,1016,銘傳大學,02311031,應用英語學系,學士班(日間),2,0,2,7,5,2,1.48
111,私立,一般大學,1016,銘傳大學,02322002,應用中國文學系,學士班(日間),1,0,1,2,1,1,0.79
111,私立,一般大學,1016,銘傳大學,02323042,華語文教學學系,學士班(日間),2,2,0,0,0,0,0.65
111,私立,一般大學,1016,銘傳大學,03122005,國際事務與外交學士學位學程,學士班(日間),6,4,2,4,3,1,4.69
111,私立,一般大學,1016,銘傳大學,03131054,諮商與工商心理學系,學士班(日間),8,2,6,20,5,15,8.38
111,私立,一般大學,1016,銘傳大學,03141088,犯罪防治學系,學士班(日間),5,3,2,13,4,9,3.94
111,私立,一般大學,1016,銘傳大學,03211047,廣播電視學系,學士班(日間),78,19,59,62,27,35,33.65
111,私立,一般大學,1016,銘傳大學,03211063,新聞與大眾傳播學士學位學程,學士班(日間),10,6,4,0,0,0,5.32
111,私立,一般大學,1016,銘傳大學,03212046,新聞學系,學士班(日間),6,3,3,19,10,9,13.02
111,私立,一般大學,1016,銘傳大學,03213064,新媒體暨傳播管理學系,學士班(日間),34,13,21,42,18,24,22.89
111,私立,一般大學,1016,銘傳大學,04111032,會計學系,學士班(日間),2,0,2,0,0,0,0.27
