學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-學生自請休學原因-小計,於學年底處於休學狀態之人數-學生自請休學原因-傷病,於學年底處於休學狀態之人數-學生自請休學原因-經濟困難,於學年底處於休學狀態之人數-學生自請休學原因-就讀學校、科系不符期待,於學年底處於休學狀態之人數-學生自請休學原因-學業成績不佳,於學年底處於休學狀態之人數-學生自請休學原因-工作,於學年底處於休學狀態之人數-學生自請休學原因-懷孕,於學年底處於休學狀態之人數-學生自請休學原因-育嬰,於學年底處於休學狀態之人數-學生自請休學原因-兵役,於學年底處於休學狀態之人數-學生自請休學原因-出國,於學年底處於休學狀態之人數-學生自請休學原因-論文撰寫,於學年底處於休學狀態之人數-學生自請休學原因-就學環境,於學年底處於休學狀態之人數-學生自請休學原因-家務或家人照顧,於學年底處於休學狀態之人數-學生自請休學原因-考試訓練,於學年底處於休學狀態之人數-學生自請休學原因-其他,於學年底處於休學狀態之人數-學校勒令休學原因-小計,於學年底處於休學狀態之人數-學校勒令休學原因-違反校規,於學年底處於休學狀態之人數-學校勒令休學原因-其他
111,公立,一般大學,0017,國立臺北大學,碩士班(日間),女,764,104,104,1,4,4,0,33,2,5,0,4,35,2,6,8,0,0,0,0
111,公立,一般大學,0017,國立臺北大學,碩士在職專班,女,332,47,47,2,0,0,0,19,2,8,0,0,9,0,2,1,4,0,0,0
111,公立,一般大學,0017,國立臺北大學,博士班,女,65,23,23,1,0,0,1,8,0,4,0,1,5,0,3,0,0,0,0,0
111,公立,一般大學,0018,國立嘉義大學,學士班(日間),男,3801,211,211,14,8,100,36,19,0,1,2,10,0,10,9,2,0,0,0,0
111,公立,一般大學,0018,國立嘉義大學,學士班(進修),男,1128,149,149,6,7,29,12,65,0,1,16,0,0,7,5,1,0,0,0,0
111,公立,一般大學,0018,國立嘉義大學,碩士班(日間),男,553,132,132,6,4,6,1,52,0,3,16,2,22,3,8,9,0,0,0,0
111,公立,一般大學,0018,國立嘉義大學,碩士在職專班,男,349,96,96,3,0,1,0,49,0,8,0,0,28,0,4,3,0,0,0,0
111,公立,一般大學,0018,國立嘉義大學,博士班,男,116,22,22,1,0,0,0,13,0,2,0,0,6,0,0,0,0,0,0,0
111,公立,一般大學,0018,國立嘉義大學,學士班(日間),女,3537,154,154,33,7,72,4,7,1,1,0,11,0,8,7,2,1,0,0,0
111,公立,一般大學,0018,國立嘉義大學,學士班(進修),女,703,74,74,5,5,14,4,32,1,4,1,2,0,1,3,2,0,0,0,0
111,公立,一般大學,0018,國立嘉義大學,碩士班(日間),女,657,134,134,8,2,2,1,60,3,12,0,4,27,2,6,7,0,0,0,0
111,公立,一般大學,0018,國立嘉義大學,碩士在職專班,女,561,140,140,9,2,3,0,55,5,26,0,1,25,0,9,5,0,0,0,0
111,公立,一般大學,0018,國立嘉義大學,博士班,女,81,12,12,1,0,0,0,5,0,1,0,0,4,0,1,0,0,0,0,0
111,公立,一般大學,0019,國立高雄大學,學士班(日間),男,2684,122,122,17,2,42,35,21,0,0,2,1,0,1,0,1,0,0,0,0
111,公立,一般大學,0019,國立高雄大學,學士班(進修),男,58,27,26,1,0,0,0,21,0,1,0,0,0,1,1,0,1,1,0,1
111,公立,一般大學,0019,國立高雄大學,碩士班(日間),男,437,59,59,1,4,7,12,27,0,2,4,0,1,0,1,0,0,0,0,0
111,公立,一般大學,0019,國立高雄大學,碩士在職專班,男,340,92,91,7,4,1,1,70,0,4,0,0,0,0,4,0,0,1,0,1
111,公立,一般大學,0019,國立高雄大學,博士班,男,26,14,14,1,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0019,國立高雄大學,學士班(日間),女,1908,67,65,15,2,23,21,3,0,0,0,0,0,0,1,0,0,2,0,2
111,公立,一般大學,0019,國立高雄大學,學士班(進修),女,66,21,21,0,1,1,3,10,1,2,0,1,0,0,2,0,0,0,0,0
111,公立,一般大學,0019,國立高雄大學,碩士班(日間),女,264,51,51,6,3,6,10,18,1,2,0,0,2,0,2,0,1,0,0,0
111,公立,一般大學,0019,國立高雄大學,碩士在職專班,女,199,62,62,2,1,0,1,47,1,4,0,0,1,0,4,1,0,0,0,0
111,公立,一般大學,0019,國立高雄大學,博士班,女,4,3,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
111,公立,一般大學,0020,國立東華大學,學士班(日間),男,3745,211,211,20,8,78,29,16,0,0,6,5,1,7,30,9,2,0,0,0
111,公立,一般大學,0020,國立東華大學,碩士班(日間),男,689,200,200,9,9,21,2,55,0,7,4,2,55,3,24,4,5,0,0,0
111,公立,一般大學,0020,國立東華大學,碩士在職專班,男,196,100,100,2,2,3,2,45,0,11,0,1,20,0,9,0,5,0,0,0
111,公立,一般大學,0020,國立東華大學,博士班,男,240,55,55,5,0,1,2,22,0,6,2,0,12,0,5,0,0,0,0,0
111,公立,一般大學,0020,國立東華大學,學士班(日間),女,4133,188,188,32,11,71,10,7,2,3,1,13,0,6,22,5,5,0,0,0
111,公立,一般大學,0020,國立東華大學,碩士班(日間),女,754,261,261,18,9,18,4,84,5,22,0,2,67,0,28,2,2,0,0,0
111,公立,一般大學,0020,國立東華大學,碩士在職專班,女,342,131,131,9,2,8,0,44,6,10,0,1,26,1,18,2,4,0,0,0
111,公立,一般大學,0020,國立東華大學,博士班,女,181,59,59,9,0,2,0,21,1,5,0,2,10,1,7,0,1,0,0,0
111,公立,一般大學,0021,國立暨南國際大學,學士班(日間),男,2268,84,84,3,2,31,15,5,0,0,2,8,0,8,10,0,0,0,0,0
