學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別(108.12新增),國家(地區)區域別(108.12新增),畢業境外生總人數小計,畢業境外生總人數男,畢業境外生總人數女,畢業外國學生小計,畢業外國學生男,畢業外國學生女,畢業僑生小計,畢業僑生男,畢業僑生女,畢業港澳生小計,畢業港澳生男,畢業港澳生女,畢業大陸地區來臺學位生小計,畢業大陸地區來臺學位生男,畢業大陸地區來臺學位生女
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),以色列,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),日本,其他亞洲地區,23,11,12,16,7,9,7,4,3,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),大韓民國(南韓),其他亞洲地區,27,8,19,25,8,17,2,0,2,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),黎巴嫩共和國,其他亞洲地區,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),馬來西亞,東協,88,41,47,7,3,4,81,38,43,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),菲律賓共和國,東協,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),新加坡共和國,東協,5,1,4,3,0,3,2,1,1,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),泰國,東協,8,6,2,3,2,1,5,4,1,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),越南社會主義共和國,東協,14,2,12,4,1,3,10,1,9,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),汶萊和平之國,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),香港,港澳,41,23,18,0,0,0,0,0,0,41,23,18,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),澳門,港澳,24,13,11,0,0,0,0,0,0,24,13,11,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),俄羅斯聯邦,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),芬蘭共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),加拿大,北美洲,4,2,2,0,0,0,4,2,2,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),宏都拉斯共和國,中南美洲,6,2,4,6,2,4,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),墨西哥合眾國,中南美洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),貝里斯,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),美國,北美洲,4,1,3,1,0,1,3,1,2,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),阿根廷,中南美洲,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),巴拉圭,中南美洲,6,3,3,5,3,2,1,0,1,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),大陸地區,大陸地區,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
113,公立,一般大學,0003,國立臺灣大學,碩士班(日間),緬甸,東協,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,碩士班(日間),柬埔寨王國,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,碩士班(日間),印度,南亞,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,碩士班(日間),印度尼西亞共和國,東協,36,19,17,19,9,10,17,10,7,0,0,0,0,0,0
113,公立,一般大學,0003,國立臺灣大學,碩士班(日間),日本,其他亞洲地區,18,10,8,18,10,8,0,0,0,0,0,0,0,0,0
