學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),境外學位生數小計,境外學位生數男,境外學位生數女,境外學位生數之在學比率(%)
112,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,學士班(日間),0,0,0,0.00
112,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,碩士班(日間),11,4,7,19.64
112,公立,一般大學,0002,國立清華大學,05211121,分析與環境科學研究所,碩士班(日間),0,0,0,0.00
112,公立,一般大學,0002,國立清華大學,05211121,分析與環境科學研究所,博士班,0,0,0,0.00
112,公立,一般大學,0002,國立清華大學,05311037,化學系,學士班(日間),14,8,6,5.00
112,公立,一般大學,0002,國立清華大學,05311037,化學系,碩士班(日間),1,1,0,0.47
112,公立,一般大學,0002,國立清華大學,05311037,化學系,博士班,39,28,11,47.56
112,公立,一般大學,0002,國立清華大學,05331038,物理學系,學士班(日間),13,12,1,4.50
112,公立,一般大學,0002,國立清華大學,05331038,物理學系,碩士班(日間),9,8,1,4.31
112,公立,一般大學,0002,國立清華大學,05331038,物理學系,博士班,18,13,5,21.95
112,公立,一般大學,0002,國立清華大學,05331137,量子科技暨尖端材料博士學位學程,博士班,0,0,0,0.00
112,公立,一般大學,0002,國立清華大學,05332039,天文研究所,碩士班(日間),4,2,2,19.05
112,公立,一般大學,0002,國立清華大學,05332039,天文研究所,博士班,10,6,4,55.56
112,公立,一般大學,0002,國立清華大學,05399040,先進光源科技碩士學位學程,碩士班(日間),0,0,0,0.00
112,公立,一般大學,0002,國立清華大學,05399042,理學院學士班,學士班(日間),3,2,1,1.78
112,公立,一般大學,0002,國立清華大學,05411043,數學系,學士班(日間),12,8,4,4.58
112,公立,一般大學,0002,國立清華大學,05411043,數學系,碩士班(日間),5,5,0,9.09
112,公立,一般大學,0002,國立清華大學,05411043,數學系,博士班,0,0,0,0.00
112,公立,一般大學,0002,國立清華大學,05411115,計算與建模科學研究所,碩士班(日間),2,2,0,8.00
112,公立,一般大學,0002,國立清華大學,05421044,統計學研究所,碩士班(日間),1,1,0,1.96
112,公立,一般大學,0002,國立清華大學,05421044,統計學研究所,博士班,1,1,0,4.55
112,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),40,30,10,6.62
112,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,碩士班(日間),16,13,3,3.59
112,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,博士班,12,8,4,15.79
112,公立,一般大學,0002,國立清華大學,06131122,資訊安全研究所,碩士班(日間),3,2,1,4.62
112,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,碩士班(日間),38,28,10,24.68
112,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,博士班,2,2,0,8.70
112,公立,一般大學,0002,國立清華大學,06134048,社群網路與人智計算國際研究生博士學位學程,博士班,12,7,5,92.31
112,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,學士班(日間),10,6,4,4.05
112,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,碩士班(日間),19,3,16,9.13
